自增ID,租户ID,资产ID,智能耳标编号,用药日期,用药名称,多个用逗号分隔,用药方式(1内服2外用3注射),备注,创建人,创建人名称,创建人部门id,修改时间
2,1,165,MK2210000063,2022-10-21,安乃近;头孢;柴胡;,3,发烧,25,彭波,1,2023-04-11 11:48:47,0
3,1,38,3720853517,2022-10-23,萘普生筋骨宁;头孢;,3,腿伤,17,付勇彬,1,2023-04-13 10:21:01,0
4,1,38,3720853517,2022-10-23,高锰酸钾;,2,腿伤,17,付勇彬,1,2023-04-13 10:24:17,0
5,1,1867,MK2210000167,2023-04-23,高锰酸钾;,2,后左蹄子流血，用于消毒,10,李鉴霖,2,2023-04-23 19:34:29,0
6,1,1866,MK2210000133,2023-04-23,柴胡;黄连解毒散;,1,发烧，40度,10,李鉴霖,2,2023-04-23 19:36:09,0
7,4,3547,202310051326,2023-11-23,萘普生;复合维B;头孢;,3,蹄发炎,15,付勇斌,6,2023-11-28 10:49:11,0
8,4,3547,202310051326,2023-11-22,萘普生;头孢;复合维B;,3,蹄发炎,15,付勇斌,6,2023-11-28 10:51:54,0
9,4,3548,202310051327,2023-11-02,萘普生;头孢;,3,,15,付勇斌,6,2023-11-28 10:55:27,0
10,4,3546,202310051325,2023-10-12,柴胡;头孢;复合维B;,3,发烧,15,付勇斌,6,2023-11-28 10:58:25,0
11,4,3546,202310051325,2023-10-11,柴胡;复合维B;头孢;安乃近;,3,发烧,15,付勇斌,6,2023-11-28 10:59:26,0
12,4,3545,202310051324,2023-09-04,萘普生;头孢;,3,镇痛,15,付勇斌,6,2023-11-28 11:02:22,0
13,4,3545,202310051324,2023-09-12,头孢;萘普生;安乃近;,3,镇痛,15,付勇斌,6,2023-11-28 11:03:30,0
14,4,3548,202310051327,2023-11-03,头孢;萘普生;安痛定;,3,镇痛,15,付勇斌,6,2023-11-28 11:10:15,0
15,4,3539,202310051318,2023-08-08,板蓝根注射液;安痛定;,3,胃口不好,15,付勇斌,6,2023-11-28 11:12:33,0
16,4,3542,202310051321,2023-08-23,头孢;金银花粗提液;安痛定;,3,发烧,15,付勇斌,6,2023-11-28 11:15:20,0
17,4,3542,202310051321,2023-08-25,复合维B;头孢;安痛定;柴胡;,3,发烧,15,付勇斌,6,2023-11-28 11:16:10,0
18,4,3539,202310051318,2023-10-17,板蓝根注射液;安痛定;头孢;,3,消炎,15,付勇斌,6,2023-11-28 11:17:52,0
19,4,3539,202310051318,2023-11-19,板蓝根注射液;安痛定;头孢;,3,消炎,15,付勇斌,6,2023-11-28 11:18:34,0
20,4,3531,202310051310,2023-08-21,萘普生;安痛定;复合维B;头孢;,3,蹄发炎,15,付勇斌,6,2023-11-28 11:19:54,0
21,4,3531,202310051310,2023-08-23,头孢;萘普生;安痛定;,3,,15,付勇斌,6,2023-11-28 11:20:30,0
22,4,3772,2210000428,2024-04-24,金银花粗提液,3,流鼻涕,15,付勇斌,6,2024-04-24 17:38:18,0
23,4,3769,2210000425,2024-04-24,氟尼辛葡甲胺,3,喘气，发烧41.5,15,付勇斌,6,2024-04-24 17:58:41,0
24,4,3639,2210000223,2024-04-24,萘普生,3,左前腿肿,15,付勇斌,6,2024-04-24 18:04:45,0
25,4,3817,2210000473,2024-04-25,氟尼辛葡甲胺,3,捭子发烧,15,付勇斌,6,2024-04-25 17:25:19,0
26,4,3789,2210000445,2024-04-25,氟尼辛葡甲胺,3,发烧,15,付勇斌,6,2024-04-25 17:36:34,0
27,4,3770,2210000426,2024-07-18,头孢,3,,15,付勇斌,6,2024-07-18 12:16:01,0
29,4,3792,2210000448,2024-07-17,安乃近,3,,15,付勇斌,6,2024-07-18 12:17:13,0
30,4,3639,2210000223,2024-07-18,柴胡,3,,15,付勇斌,6,2024-07-18 18:22:46,0
31,4,3803,2210000459,2025-02-01,盐酸林可霉素;头孢;,3,踹,15,付勇斌,6,2025-02-14 10:13:19,0
